title,body_file,labels,milestone,parent_epic,use_case,issue_type,area,priority,phase
Define auxiliary force eligibility rules,issue_bodies/tasks/uc-034-define-auxiliary-force-eligibility-rules.md,"type: research,area: conquest,priority: low,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-034] Manage Auxiliary Forces,UC-034,Task,Conquest,Low,STRETCH
Implement auxiliary force endpoint,issue_bodies/tasks/uc-034-implement-auxiliary-force-endpoint.md,"type: task,area: api,area: conquest,priority: low,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-034] Manage Auxiliary Forces,UC-034,Task,Conquest,Low,STRETCH
Build auxiliary force selection UI,issue_bodies/tasks/uc-034-build-auxiliary-force-selection-ui.md,"type: task,area: ui,area: conquest,priority: low,phase: stretch",M8: Conquest Campaign Map and Orders,[UC-034] Manage Auxiliary Forces,UC-034,Task,Conquest,Low,STRETCH
[UC-035] Manage Admin Rule Constants,issue_bodies/epics/uc-035-manage-admin-rule-constants.md,"type: epic,area: api,priority: low,phase: stretch","M9: Leaderboards, Polish, and Final Release",,UC-035,Epic,Api,Low,STRETCH
Create rule constants model,issue_bodies/tasks/uc-035-create-rule-constants-model.md,"type: task,area: database,area: api,priority: low,phase: stretch","M9: Leaderboards, Polish, and Final Release",[UC-035] Manage Admin Rule Constants,UC-035,Task,Api,Low,STRETCH
Implement admin rule constant endpoints,issue_bodies/tasks/uc-035-implement-admin-rule-constant-endpoints.md,"type: task,area: api,priority: low,phase: stretch","M9: Leaderboards, Polish, and Final Release",[UC-035] Manage Admin Rule Constants,UC-035,Task,Api,Low,STRETCH
Build admin constants UI,issue_bodies/tasks/uc-035-build-admin-constants-ui.md,"type: task,area: ui,priority: low,phase: stretch","M9: Leaderboards, Polish, and Final Release",[UC-035] Manage Admin Rule Constants,UC-035,Task,Api,Low,STRETCH
Maintain Project Documentation,issue_bodies/epics/maintain-project-documentation.md,"type: epic,area: docs,priority: high,phase: mvp",M1: Project Foundation and Documentation,,DOC,Epic,Docs,High,MVP
Add SRS to repository docs,issue_bodies/tasks/doc-add-srs-to-repository-docs.md,"type: documentation,area: docs,priority: high,phase: mvp",M1: Project Foundation and Documentation,Maintain Project Documentation,DOC,Task,Docs,High,MVP
Add gameplay manual to repository docs,issue_bodies/tasks/doc-add-gameplay-manual-to-repository-docs.md,"type: documentation,area: docs,priority: high,phase: mvp",M1: Project Foundation and Documentation,Maintain Project Documentation,DOC,Task,Docs,High,MVP
Add use cases to repository docs,issue_bodies/tasks/doc-add-use-cases-to-repository-docs.md,"type: documentation,area: docs,priority: high,phase: mvp",M1: Project Foundation and Documentation,Maintain Project Documentation,DOC,Task,Docs,High,MVP
Add database design to repository docs,issue_bodies/tasks/doc-add-database-design-to-repository-docs.md,"type: documentation,area: docs,area: database,priority: high,phase: mvp",M1: Project Foundation and Documentation,Maintain Project Documentation,DOC,Task,Docs,High,MVP
Add API endpoint plan to repository docs,issue_bodies/tasks/doc-add-api-endpoint-plan-to-repository-docs.md,"type: documentation,area: docs,area: api,priority: high,phase: mvp",M1: Project Foundation and Documentation,Maintain Project Documentation,DOC,Task,Docs,High,MVP
